****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Parallel execution requested.  Will use 20 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 778x1726
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.863	Loglikelihood: -397742	(delta): 1.19143e+06
2 (EM) 	Elapsed: 0.868	Loglikelihood: -363239	(delta): 34502.6
3 (EM) 	Elapsed: 0.862	Loglikelihood: -359501	(delta): 3737.5
4 (EM) 	Elapsed: 0.862	Loglikelihood: -357375	(delta): 2125.98
5 (EM) 	Elapsed: 0.867	Loglikelihood: -355336	(delta): 2039.07
Initial loglikelihood: -355336
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.959	Loglikelihood: -268460	(delta): 86876.7
2 (QN/Block) 	Elapsed: 0.953	Loglikelihood: -259912	(delta): 8547.39
3 (QN/Block) 	Elapsed: 0.963	Loglikelihood: -256756	(delta): 3156.19
4 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -255158	(delta): 1597.64
5 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -254453	(delta): 705.23
6 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -254081	(delta): 372.558
7 (QN/Block) 	Elapsed: 0.96	Loglikelihood: -253838	(delta): 242.653
8 (QN/Block) 	Elapsed: 0.96	Loglikelihood: -253693	(delta): 145.226
9 (QN/Block) 	Elapsed: 0.957	Loglikelihood: -253585	(delta): 107.679
10 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -253482	(delta): 103.058
11 (QN/Block) 	Elapsed: 0.959	Loglikelihood: -253422	(delta): 60.1289
12 (QN/Block) 	Elapsed: 0.959	Loglikelihood: -253378	(delta): 44.4066
13 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -253342	(delta): 35.261
14 (QN/Block) 	Elapsed: 0.958	Loglikelihood: -253317	(delta): 24.7825
15 (QN/Block) 	Elapsed: 0.96	Loglikelihood: -253282	(delta): 35.8809
16 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -253240	(delta): 41.1396
17 (QN/Block) 	Elapsed: 0.974	Loglikelihood: -253208	(delta): 32.8202
18 (QN/Block) 	Elapsed: 0.962	Loglikelihood: -253172	(delta): 35.2939
19 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -253140	(delta): 32.4033
20 (QN/Block) 	Elapsed: 0.972	Loglikelihood: -253120	(delta): 19.7232
21 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -253106	(delta): 14.2154
22 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -253091	(delta): 14.6352
23 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -253077	(delta): 14.034
24 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -253064	(delta): 12.9155
25 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -253053	(delta): 10.9931
26 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -253038	(delta): 15.6548
27 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -253013	(delta): 25.1779
28 (QN/Block) 	Elapsed: 0.968	Loglikelihood: -252996	(delta): 16.4735
29 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252983	(delta): 13.5897
30 (QN/Block) 	Elapsed: 0.968	Loglikelihood: -252964	(delta): 18.9736
31 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252948	(delta): 15.4731
32 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252931	(delta): 16.7581
33 (QN/Block) 	Elapsed: 0.963	Loglikelihood: -252906	(delta): 25.2162
34 (QN/Block) 	Elapsed: 0.961	Loglikelihood: -252883	(delta): 22.8448
35 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252869	(delta): 14.7305
36 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252856	(delta): 12.8429
37 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -252845	(delta): 10.5185
38 (QN/Block) 	Elapsed: 0.973	Loglikelihood: -252835	(delta): 9.75191
39 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -252824	(delta): 11.2651
40 (QN/Block) 	Elapsed: 0.975	Loglikelihood: -252813	(delta): 10.7293
41 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252805	(delta): 8.11992
42 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252796	(delta): 9.13432
43 (QN/Block) 	Elapsed: 0.962	Loglikelihood: -252787	(delta): 9.00723
44 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252777	(delta): 10.0103
45 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252770	(delta): 7.00956
46 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252764	(delta): 6.23291
47 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252757	(delta): 7.35955
48 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252749	(delta): 7.07488
49 (QN/Block) 	Elapsed: 0.975	Loglikelihood: -252744	(delta): 5.19789
50 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252736	(delta): 8.15241
51 (QN/Block) 	Elapsed: 0.96	Loglikelihood: -252728	(delta): 7.90403
52 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252722	(delta): 6.24519
53 (QN/Block) 	Elapsed: 0.973	Loglikelihood: -252715	(delta): 6.49561
54 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252709	(delta): 6.03593
55 (QN/Block) 	Elapsed: 0.963	Loglikelihood: -252705	(delta): 4.24095
56 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252699	(delta): 6.3563
57 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252691	(delta): 7.57695
58 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252684	(delta): 7.55196
59 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252678	(delta): 5.24684
60 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252675	(delta): 3.7281
61 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252671	(delta): 3.24183
62 (QN/Block) 	Elapsed: 0.976	Loglikelihood: -252669	(delta): 2.1881
63 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252667	(delta): 1.87119
64 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252666	(delta): 1.17891
65 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252665	(delta): 1.38267
66 (QN/Block) 	Elapsed: 0.962	Loglikelihood: -252664	(delta): 1.2691
67 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252663	(delta): 0.854676
68 (QN/Block) 	Elapsed: 0.964	Loglikelihood: -252662	(delta): 0.551379
69 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252661	(delta): 0.943549
70 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252661	(delta): 0.373232
71 (QN/Block) 	Elapsed: 0.963	Loglikelihood: -252660	(delta): 0.662616
72 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252660	(delta): 0.464051
73 (QN/Block) 	Elapsed: 0.972	Loglikelihood: -252659	(delta): 0.434057
74 (QN/Block) 	Elapsed: 0.975	Loglikelihood: -252659	(delta): 0.578743
75 (QN/Block) 	Elapsed: 0.965	Loglikelihood: -252658	(delta): 0.331872
76 (QN/Block) 	Elapsed: 0.967	Loglikelihood: -252658	(delta): 0.816112
77 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252657	(delta): 0.878479
78 (QN/Block) 	Elapsed: 0.975	Loglikelihood: -252656	(delta): 1.15756
79 (QN/Block) 	Elapsed: 0.974	Loglikelihood: -252654	(delta): 1.72624
80 (QN/Block) 	Elapsed: 0.974	Loglikelihood: -252653	(delta): 1.08953
81 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -252652	(delta): 1.21751
82 (QN/Block) 	Elapsed: 0.968	Loglikelihood: -252650	(delta): 1.25306
83 (QN/Block) 	Elapsed: 0.968	Loglikelihood: -252650	(delta): 0.701262
84 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252649	(delta): 0.585675
85 (QN/Block) 	Elapsed: 0.971	Loglikelihood: -252648	(delta): 0.492733
86 (QN/Block) 	Elapsed: 0.966	Loglikelihood: -252648	(delta): 0.43452
87 (QN/Block) 	Elapsed: 0.969	Loglikelihood: -252648	(delta): 0.491038
88 (QN/Block) 	Elapsed: 0.97	Loglikelihood: -252647	(delta): 0.317447
