****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Parallel execution requested.  Will use 20 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 778x1726
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.289	Loglikelihood: -399977	(delta): 1.25249e+06
2 (EM) 	Elapsed: 0.286	Loglikelihood: -366026	(delta): 33951
3 (EM) 	Elapsed: 0.287	Loglikelihood: -361741	(delta): 4284.91
4 (EM) 	Elapsed: 0.288	Loglikelihood: -359310	(delta): 2430.95
5 (EM) 	Elapsed: 0.286	Loglikelihood: -357132	(delta): 2178.52
Initial loglikelihood: -357132
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.601	Loglikelihood: -279269	(delta): 77862.8
2 (QN/Block) 	Elapsed: 0.61	Loglikelihood: -271023	(delta): 8245.91
3 (QN/Block) 	Elapsed: 0.61	Loglikelihood: -267862	(delta): 3161.1
4 (QN/Block) 	Elapsed: 0.598	Loglikelihood: -266513	(delta): 1348.47
5 (QN/Block) 	Elapsed: 0.601	Loglikelihood: -265940	(delta): 573.143
6 (QN/Block) 	Elapsed: 0.604	Loglikelihood: -265728	(delta): 212.231
7 (QN/Block) 	Elapsed: 0.612	Loglikelihood: -265616	(delta): 111.725
8 (QN/Block) 	Elapsed: 0.63	Loglikelihood: -265479	(delta): 137.376
9 (QN/Block) 	Elapsed: 0.609	Loglikelihood: -265395	(delta): 84.3474
10 (QN/Block) 	Elapsed: 0.615	Loglikelihood: -265321	(delta): 73.849
11 (QN/Block) 	Elapsed: 0.607	Loglikelihood: -265243	(delta): 77.5964
12 (QN/Block) 	Elapsed: 0.616	Loglikelihood: -265198	(delta): 45.5689
