****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Parallel execution requested.  Will use 20 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 778x1726
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.753	Loglikelihood: -398045	(delta): 1.1987e+06
2 (EM) 	Elapsed: 0.751	Loglikelihood: -363814	(delta): 34231.9
3 (EM) 	Elapsed: 0.751	Loglikelihood: -360122	(delta): 3691.64
4 (EM) 	Elapsed: 0.75	Loglikelihood: -358058	(delta): 2064.03
5 (EM) 	Elapsed: 0.751	Loglikelihood: -356230	(delta): 1827.99
Initial loglikelihood: -356230
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.904	Loglikelihood: -271302	(delta): 84927.8
2 (QN/Block) 	Elapsed: 0.903	Loglikelihood: -262478	(delta): 8824.54
3 (QN/Block) 	Elapsed: 0.914	Loglikelihood: -259016	(delta): 3461.5
4 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -257289	(delta): 1726.99
5 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -256527	(delta): 762.144
6 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -256131	(delta): 395.533
7 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -255881	(delta): 250.131
8 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -255702	(delta): 179.63
9 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -255592	(delta): 109.461
10 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -255501	(delta): 91.2871
11 (QN/Block) 	Elapsed: 0.909	Loglikelihood: -255426	(delta): 75.4196
12 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255347	(delta): 78.4971
13 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255282	(delta): 65.1404
14 (QN/Block) 	Elapsed: 0.915	Loglikelihood: -255237	(delta): 45.3376
15 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255199	(delta): 37.6573
16 (QN/Block) 	Elapsed: 0.915	Loglikelihood: -255165	(delta): 33.395
17 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255136	(delta): 29.369
18 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255113	(delta): 22.6299
19 (QN/Block) 	Elapsed: 0.911	Loglikelihood: -255092	(delta): 21.0867
